Date,Vegetable,Delhi Price
01-02-2022,Fenugreek Leaves ,11
02-02-2022,Fenugreek Leaves ,13
03-02-2022,Fenugreek Leaves ,13
04-02-2022,Fenugreek Leaves ,13
05-02-2022,Fenugreek Leaves ,8
06-02-2022,Fenugreek Leaves ,8
07-02-2022,Fenugreek Leaves ,8
08-02-2022,Fenugreek Leaves ,10
09-02-2022,Fenugreek Leaves ,10
10-02-2022,Fenugreek Leaves ,10
11-02-2022,Fenugreek Leaves ,10
12-02-2022,Fenugreek Leaves ,8
13-02-2022,Fenugreek Leaves ,8
14-02-2022,Fenugreek Leaves ,8
15-02-2022,Fenugreek Leaves ,8
16-02-2022,Fenugreek Leaves ,8
17-02-2022,Fenugreek Leaves ,10
18-02-2022,Fenugreek Leaves ,10
19-02-2022,Fenugreek Leaves ,10
20-02-2022,Fenugreek Leaves ,8
21-02-2022,Fenugreek Leaves ,8
22-02-2022,Fenugreek Leaves ,8
23-02-2022,Fenugreek Leaves ,8
24-02-2022,Fenugreek Leaves ,8
25-02-2022,Fenugreek Leaves ,8
26-02-2022,Fenugreek Leaves ,9
27-02-2022,Fenugreek Leaves ,9
28-02-2022,Fenugreek Leaves ,12
01-03-2022,Fenugreek Leaves ,12
02-03-2022,Fenugreek Leaves ,12
03-03-2022,Fenugreek Leaves ,12
04-03-2022,Fenugreek Leaves ,12
05-03-2022,Fenugreek Leaves ,12
06-03-2022,Fenugreek Leaves ,12
07-03-2022,Fenugreek Leaves ,8
08-03-2022,Fenugreek Leaves ,8
09-03-2022,Fenugreek Leaves ,9
10-03-2022,Fenugreek Leaves ,9
11-03-2022,Fenugreek Leaves ,9
12-03-2022,Fenugreek Leaves ,9
13-03-2022,Fenugreek Leaves ,9
14-03-2022,Fenugreek Leaves ,12
15-03-2022,Fenugreek Leaves ,12
16-03-2022,Fenugreek Leaves ,12
17-03-2022,Fenugreek Leaves ,13
18-03-2022,Fenugreek Leaves ,13
19-03-2022,Fenugreek Leaves ,13
20-03-2022,Fenugreek Leaves ,8
21-03-2022,Fenugreek Leaves ,8
22-03-2022,Fenugreek Leaves ,13
23-03-2022,Fenugreek Leaves ,13
24-03-2022,Fenugreek Leaves ,13
25-03-2022,Fenugreek Leaves ,14
26-03-2022,Fenugreek Leaves ,14
27-03-2022,Fenugreek Leaves ,14
28-03-2022,Fenugreek Leaves ,11
29-03-2022,Fenugreek Leaves ,11
30-03-2022,Fenugreek Leaves ,11
31-03-2022,Fenugreek Leaves ,11
02-04-2022,Fenugreek Leaves ,8
03-04-2022,Fenugreek Leaves ,8
04-04-2022,Fenugreek Leaves ,9
05-04-2022,Fenugreek Leaves ,9
06-04-2022,Fenugreek Leaves ,9
07-04-2022,Fenugreek Leaves ,8
08-04-2022,Fenugreek Leaves ,8
09-04-2022,Fenugreek Leaves ,8
10-04-2022,Fenugreek Leaves ,11
11-04-2022,Fenugreek Leaves ,11
12-04-2022,Fenugreek Leaves ,11
13-04-2022,Fenugreek Leaves ,10
14-04-2022,Fenugreek Leaves ,10
15-04-2022,Fenugreek Leaves ,10
17-04-2022,Fenugreek Leaves ,13
18-04-2022,Fenugreek Leaves ,13
19-04-2022,Fenugreek Leaves ,13
20-04-2022,Fenugreek Leaves ,13
21-04-2022,Fenugreek Leaves ,13
22-04-2022,Fenugreek Leaves ,13
23-04-2022,Fenugreek Leaves ,13
24-04-2022,Fenugreek Leaves ,14
25-04-2022,Fenugreek Leaves ,14
26-04-2022,Fenugreek Leaves ,14
27-04-2022,Fenugreek Leaves ,14
28-04-2022,Fenugreek Leaves ,14
29-04-2022,Fenugreek Leaves ,14
30-04-2022,Fenugreek Leaves ,11
01-05-2022,Fenugreek Leaves ,11
02-05-2022,Fenugreek Leaves ,9
03-05-2022,Fenugreek Leaves ,9
04-05-2022,Fenugreek Leaves ,9
05-05-2022,Fenugreek Leaves ,12
06-05-2022,Fenugreek Leaves ,12
07-05-2022,Fenugreek Leaves ,12
08-05-2022,Fenugreek Leaves ,9
09-05-2022,Fenugreek Leaves ,9
10-05-2022,Fenugreek Leaves ,9
11-05-2022,Fenugreek Leaves ,12
12-05-2022,Fenugreek Leaves ,12
13-05-2022,Fenugreek Leaves ,12
14-05-2022,Fenugreek Leaves ,12
15-05-2022,Fenugreek Leaves ,10
16-05-2022,Fenugreek Leaves ,10
17-05-2022,Fenugreek Leaves ,10
18-05-2022,Fenugreek Leaves ,16
19-05-2022,Fenugreek Leaves ,11
20-05-2022,Fenugreek Leaves ,11
21-05-2022,Fenugreek Leaves ,9
22-05-2022,Fenugreek Leaves ,9
23-05-2022,Fenugreek Leaves ,9
24-05-2022,Fenugreek Leaves ,9
25-05-2022,Fenugreek Leaves ,10
26-05-2022,Fenugreek Leaves ,10
27-05-2022,Fenugreek Leaves ,10
28-05-2022,Fenugreek Leaves ,6
29-05-2022,Fenugreek Leaves ,6
30-05-2022,Fenugreek Leaves ,6
31-05-2022,Fenugreek Leaves ,6
01-06-2022,Fenugreek Leaves ,8
02-06-2022,Fenugreek Leaves ,8
03-06-2022,Fenugreek Leaves ,8
04-06-2022,Fenugreek Leaves ,10
05-06-2022,Fenugreek Leaves ,10
06-06-2022,Fenugreek Leaves ,10
07-06-2022,Fenugreek Leaves ,8
08-06-2022,Fenugreek Leaves ,8
09-06-2022,Fenugreek Leaves ,8
10-06-2022,Fenugreek Leaves ,8
11-06-2022,Fenugreek Leaves ,12
12-06-2022,Fenugreek Leaves ,12
13-06-2022,Fenugreek Leaves ,12
14-06-2022,Fenugreek Leaves ,10
15-06-2022,Fenugreek Leaves ,10
16-06-2022,Fenugreek Leaves ,10
17-06-2022,Fenugreek Leaves ,10
18-06-2022,Fenugreek Leaves ,11
19-06-2022,Fenugreek Leaves ,11
20-06-2022,Fenugreek Leaves ,9
21-06-2022,Fenugreek Leaves ,9
22-06-2022,Fenugreek Leaves ,9
23-06-2022,Fenugreek Leaves ,10
24-06-2022,Fenugreek Leaves ,10
25-06-2022,Fenugreek Leaves ,10
26-06-2022,Fenugreek Leaves ,10
27-06-2022,Fenugreek Leaves ,11
28-06-2022,Fenugreek Leaves ,11
29-06-2022,Fenugreek Leaves ,11
30-06-2022,Fenugreek Leaves ,11
01-07-2022,Fenugreek Leaves ,9
02-07-2022,Fenugreek Leaves ,9
03-07-2022,Fenugreek Leaves ,9
04-07-2022,Fenugreek Leaves ,11
05-07-2022,Fenugreek Leaves ,11
06-07-2022,Fenugreek Leaves ,11
07-07-2022,Fenugreek Leaves ,11
08-07-2022,Fenugreek Leaves ,11
09-07-2022,Fenugreek Leaves ,11
10-07-2022,Fenugreek Leaves ,11
11-07-2022,Fenugreek Leaves ,11
12-07-2022,Fenugreek Leaves ,12
13-07-2022,Fenugreek Leaves ,12
14-07-2022,Fenugreek Leaves ,10
15-07-2022,Fenugreek Leaves ,10
16-07-2022,Fenugreek Leaves ,10
17-07-2022,Fenugreek Leaves ,10
18-07-2022,Fenugreek Leaves ,10
19-07-2022,Fenugreek Leaves ,10
20-07-2022,Fenugreek Leaves ,12
21-07-2022,Fenugreek Leaves ,12
22-07-2022,Fenugreek Leaves ,12
23-07-2022,Fenugreek Leaves ,11
24-07-2022,Fenugreek Leaves ,11
25-07-2022,Fenugreek Leaves ,11
26-07-2022,Fenugreek Leaves ,11
27-07-2022,Fenugreek Leaves ,11
28-07-2022,Fenugreek Leaves ,11
29-07-2022,Fenugreek Leaves ,11
30-07-2022,Fenugreek Leaves ,9
01-08-2022,Fenugreek Leaves ,9
02-08-2022,Fenugreek Leaves ,9
03-08-2022,Fenugreek Leaves ,10
04-08-2022,Fenugreek Leaves ,10
05-08-2022,Fenugreek Leaves ,10
06-08-2022,Fenugreek Leaves ,10
07-08-2022,Fenugreek Leaves ,12
08-08-2022,Fenugreek Leaves ,12
09-08-2022,Fenugreek Leaves ,12
10-08-2022,Fenugreek Leaves ,12
11-08-2022,Fenugreek Leaves ,12
12-08-2022,Fenugreek Leaves ,12
13-08-2022,Fenugreek Leaves ,10
14-08-2022,Fenugreek Leaves ,10
15-08-2022,Fenugreek Leaves ,9
16-08-2022,Fenugreek Leaves ,9
17-08-2022,Fenugreek Leaves ,9
18-08-2022,Fenugreek Leaves ,9
19-08-2022,Fenugreek Leaves ,9
20-08-2022,Fenugreek Leaves ,10
21-08-2022,Fenugreek Leaves ,10
22-08-2022,Fenugreek Leaves ,10
23-08-2022,Fenugreek Leaves ,9
24-08-2022,Fenugreek Leaves ,10
25-08-2022,Fenugreek Leaves ,10
26-08-2022,Fenugreek Leaves ,9
27-08-2022,Fenugreek Leaves ,9
28-08-2022,Fenugreek Leaves ,9
29-08-2022,Fenugreek Leaves ,9
30-08-2022,Fenugreek Leaves ,11
31-08-2022,Fenugreek Leaves ,11
01-09-2022,Fenugreek Leaves ,11
02-09-2022,Fenugreek Leaves ,9
03-09-2022,Fenugreek Leaves ,9
04-09-2022,Fenugreek Leaves ,9
05-09-2022,Fenugreek Leaves ,9
06-09-2022,Fenugreek Leaves ,7
07-09-2022,Fenugreek Leaves ,7
08-09-2022,Fenugreek Leaves ,7
09-09-2022,Fenugreek Leaves ,7
10-09-2022,Fenugreek Leaves ,7
11-09-2022,Fenugreek Leaves ,8
12-09-2022,Fenugreek Leaves ,8
13-09-2022,Fenugreek Leaves ,8
14-09-2022,Fenugreek Leaves ,10
15-09-2022,Fenugreek Leaves ,10
16-09-2022,Fenugreek Leaves ,9
17-09-2022,Fenugreek Leaves ,9
18-09-2022,Fenugreek Leaves ,9
19-09-2022,Fenugreek Leaves ,10
20-09-2022,Fenugreek Leaves ,10
21-09-2022,Fenugreek Leaves ,10
22-09-2022,Fenugreek Leaves ,11
23-09-2022,Fenugreek Leaves ,10
24-09-2022,Fenugreek Leaves ,10
25-09-2022,Fenugreek Leaves ,13
26-09-2022,Fenugreek Leaves ,13
27-09-2022,Fenugreek Leaves ,13
28-09-2022,Fenugreek Leaves ,9
29-09-2022,Fenugreek Leaves ,9
30-09-2022,Fenugreek Leaves ,13
01-10-2022,Fenugreek Leaves ,13
02-10-2022,Fenugreek Leaves ,13
03-10-2022,Fenugreek Leaves ,10
04-10-2022,Fenugreek Leaves ,10
05-10-2022,Fenugreek Leaves ,10
06-10-2022,Fenugreek Leaves ,7
07-10-2022,Fenugreek Leaves ,7
08-10-2022,Fenugreek Leaves ,12
09-10-2022,Fenugreek Leaves ,12
10-10-2022,Fenugreek Leaves ,12
11-10-2022,Fenugreek Leaves ,12
12-10-2022,Fenugreek Leaves ,7
13-10-2022,Fenugreek Leaves ,7
14-10-2022,Fenugreek Leaves ,7
15-10-2022,Fenugreek Leaves ,8
16-10-2022,Fenugreek Leaves ,8
17-10-2022,Fenugreek Leaves ,8
18-10-2022,Fenugreek Leaves ,10
19-10-2022,Fenugreek Leaves ,10
20-10-2022,Fenugreek Leaves ,10
21-10-2022,Fenugreek Leaves ,10
22-10-2022,Fenugreek Leaves ,10
23-10-2022,Fenugreek Leaves ,10
24-10-2022,Fenugreek Leaves ,9
25-10-2022,Fenugreek Leaves ,9
26-10-2022,Fenugreek Leaves ,9
27-10-2022,Fenugreek Leaves ,10
28-10-2022,Fenugreek Leaves ,10
29-10-2022,Fenugreek Leaves ,11
30-10-2022,Fenugreek Leaves ,11
31-10-2022,Fenugreek Leaves ,13
01-11-2022,Fenugreek Leaves ,13
02-11-2022,Fenugreek Leaves ,13
03-11-2022,Fenugreek Leaves ,10
04-11-2022,Fenugreek Leaves ,10
05-11-2022,Fenugreek Leaves ,10
06-11-2022,Fenugreek Leaves ,10
07-11-2022,Fenugreek Leaves ,10
08-11-2022,Fenugreek Leaves ,10
09-11-2022,Fenugreek Leaves ,9
10-11-2022,Fenugreek Leaves ,9
11-11-2022,Fenugreek Leaves ,9
12-11-2022,Fenugreek Leaves ,13
13-11-2022,Fenugreek Leaves ,13
14-11-2022,Fenugreek Leaves ,13
