Date,Vegetable,Noida Price
01-02-2022,Onion Big,40
02-02-2022,Onion Big,33
03-02-2022,Onion Big,33
04-02-2022,Onion Big,33
05-02-2022,Onion Big,38
06-02-2022,Onion Big,38
07-02-2022,Onion Big,38
08-02-2022,Onion Big,37
09-02-2022,Onion Big,37
10-02-2022,Onion Big,37
11-02-2022,Onion Big,37
12-02-2022,Onion Big,34
13-02-2022,Onion Big,34
14-02-2022,Onion Big,36
15-02-2022,Onion Big,36
16-02-2022,Onion Big,36
17-02-2022,Onion Big,37
18-02-2022,Onion Big,37
19-02-2022,Onion Big,37
20-02-2022,Onion Big,34
21-02-2022,Onion Big,34
22-02-2022,Onion Big,34
23-02-2022,Onion Big,34
24-02-2022,Onion Big,34
25-02-2022,Onion Big,34
26-02-2022,Onion Big,39
27-02-2022,Onion Big,39
28-02-2022,Onion Big,34
01-03-2022,Onion Big,34
02-03-2022,Onion Big,34
03-03-2022,Onion Big,34
04-03-2022,Onion Big,35
05-03-2022,Onion Big,35
06-03-2022,Onion Big,35
07-03-2022,Onion Big,35
08-03-2022,Onion Big,35
09-03-2022,Onion Big,33
10-03-2022,Onion Big,33
11-03-2022,Onion Big,33
12-03-2022,Onion Big,33
13-03-2022,Onion Big,33
14-03-2022,Onion Big,36
15-03-2022,Onion Big,36
16-03-2022,Onion Big,36
17-03-2022,Onion Big,33
18-03-2022,Onion Big,33
19-03-2022,Onion Big,33
20-03-2022,Onion Big,40
21-03-2022,Onion Big,40
22-03-2022,Onion Big,33
23-03-2022,Onion Big,33
24-03-2022,Onion Big,33
25-03-2022,Onion Big,37
26-03-2022,Onion Big,37
27-03-2022,Onion Big,37
28-03-2022,Onion Big,27
29-03-2022,Onion Big,27
30-03-2022,Onion Big,27
31-03-2022,Onion Big,27
01-04-2022,Onion Big,26
02-04-2022,Onion Big,26
03-04-2022,Onion Big,26
04-04-2022,Onion Big,29
05-04-2022,Onion Big,29
06-04-2022,Onion Big,29
07-04-2022,Onion Big,19
08-04-2022,Onion Big,19
09-04-2022,Onion Big,19
10-04-2022,Onion Big,21
11-04-2022,Onion Big,21
12-04-2022,Onion Big,21
13-04-2022,Onion Big,21
14-04-2022,Onion Big,21
15-04-2022,Onion Big,21
16-04-2022,Onion Big,21
17-04-2022,Onion Big,18
18-04-2022,Onion Big,18
19-04-2022,Onion Big,18
20-04-2022,Onion Big,18
21-04-2022,Onion Big,18
22-04-2022,Onion Big,18
23-04-2022,Onion Big,18
24-04-2022,Onion Big,21
25-04-2022,Onion Big,21
26-04-2022,Onion Big,21
27-04-2022,Onion Big,23
28-04-2022,Onion Big,23
29-04-2022,Onion Big,23
30-04-2022,Onion Big,23
01-05-2022,Onion Big,23
02-05-2022,Onion Big,22
03-05-2022,Onion Big,22
04-05-2022,Onion Big,22
05-05-2022,Onion Big,21
06-05-2022,Onion Big,21
07-05-2022,Onion Big,21
08-05-2022,Onion Big,22
09-05-2022,Onion Big,22
10-05-2022,Onion Big,22
11-05-2022,Onion Big,21
12-05-2022,Onion Big,21
13-05-2022,Onion Big,21
14-05-2022,Onion Big,21
15-05-2022,Onion Big,21
16-05-2022,Onion Big,21
17-05-2022,Onion Big,21
18-05-2022,Onion Big,21
19-05-2022,Onion Big,21
20-05-2022,Onion Big,21
21-05-2022,Onion Big,19
22-05-2022,Onion Big,19
23-05-2022,Onion Big,19
24-05-2022,Onion Big,19
25-05-2022,Onion Big,16
26-05-2022,Onion Big,16
27-05-2022,Onion Big,16
28-05-2022,Onion Big,19
29-05-2022,Onion Big,19
30-05-2022,Onion Big,19
31-05-2022,Onion Big,19
01-06-2022,Onion Big,17
02-06-2022,Onion Big,17
03-06-2022,Onion Big,17
04-06-2022,Onion Big,18
05-06-2022,Onion Big,18
06-06-2022,Onion Big,18
07-06-2022,Onion Big,18
08-06-2022,Onion Big,18
09-06-2022,Onion Big,18
10-06-2022,Onion Big,18
11-06-2022,Onion Big,20
12-06-2022,Onion Big,20
13-06-2022,Onion Big,20
14-06-2022,Onion Big,21
15-06-2022,Onion Big,21
16-06-2022,Onion Big,21
17-06-2022,Onion Big,21
18-06-2022,Onion Big,18
19-06-2022,Onion Big,18
20-06-2022,Onion Big,23
21-06-2022,Onion Big,23
22-06-2022,Onion Big,23
23-06-2022,Onion Big,24
24-06-2022,Onion Big,24
25-06-2022,Onion Big,24
26-06-2022,Onion Big,24
27-06-2022,Onion Big,23
28-06-2022,Onion Big,23
29-06-2022,Onion Big,23
30-06-2022,Onion Big,23
01-07-2022,Onion Big,24
02-07-2022,Onion Big,24
03-07-2022,Onion Big,24
04-07-2022,Onion Big,22
05-07-2022,Onion Big,22
06-07-2022,Onion Big,22
07-07-2022,Onion Big,22
08-07-2022,Onion Big,22
09-07-2022,Onion Big,20
10-07-2022,Onion Big,20
11-07-2022,Onion Big,20
12-07-2022,Onion Big,19
13-07-2022,Onion Big,19
14-07-2022,Onion Big,20
15-07-2022,Onion Big,20
16-07-2022,Onion Big,20
17-07-2022,Onion Big,24
18-07-2022,Onion Big,24
19-07-2022,Onion Big,24
20-07-2022,Onion Big,24
21-07-2022,Onion Big,23
22-07-2022,Onion Big,23
23-07-2022,Onion Big,23
24-07-2022,Onion Big,21
25-07-2022,Onion Big,21
26-07-2022,Onion Big,21
27-07-2022,Onion Big,21
28-07-2022,Onion Big,21
29-07-2022,Onion Big,21
30-07-2022,Onion Big,21
31-07-2022,Onion Big,21
01-08-2022,Onion Big,22
02-08-2022,Onion Big,22
03-08-2022,Onion Big,22
04-08-2022,Onion Big,21
05-08-2022,Onion Big,21
06-08-2022,Onion Big,21
07-08-2022,Onion Big,21
08-08-2022,Onion Big,23
09-08-2022,Onion Big,23
10-08-2022,Onion Big,23
11-08-2022,Onion Big,23
12-08-2022,Onion Big,23
13-08-2022,Onion Big,26
14-08-2022,Onion Big,26
15-08-2022,Onion Big,26
16-08-2022,Onion Big,26
17-08-2022,Onion Big,26
18-08-2022,Onion Big,28
19-08-2022,Onion Big,28
20-08-2022,Onion Big,28
21-08-2022,Onion Big,24
22-08-2022,Onion Big,24
23-08-2022,Onion Big,24
24-08-2022,Onion Big,24
25-08-2022,Onion Big,24
26-08-2022,Onion Big,25
27-08-2022,Onion Big,25
28-08-2022,Onion Big,25
29-08-2022,Onion Big,25
30-08-2022,Onion Big,25
31-08-2022,Onion Big,25
01-09-2022,Onion Big,27
02-09-2022,Onion Big,27
03-09-2022,Onion Big,27
04-09-2022,Onion Big,27
05-09-2022,Onion Big,25
06-09-2022,Onion Big,28
07-09-2022,Onion Big,28
08-09-2022,Onion Big,28
09-09-2022,Onion Big,28
10-09-2022,Onion Big,23
11-09-2022,Onion Big,22
12-09-2022,Onion Big,22
13-09-2022,Onion Big,22
14-09-2022,Onion Big,22
15-09-2022,Onion Big,22
16-09-2022,Onion Big,22
17-09-2022,Onion Big,22
18-09-2022,Onion Big,22
19-09-2022,Onion Big,23
20-09-2022,Onion Big,23
21-09-2022,Onion Big,23
22-09-2022,Onion Big,22
23-09-2022,Onion Big,22
24-09-2022,Onion Big,22
25-09-2022,Onion Big,22
26-09-2022,Onion Big,22
27-09-2022,Onion Big,22
28-09-2022,Onion Big,22
29-09-2022,Onion Big,22
30-09-2022,Onion Big,24
01-10-2022,Onion Big,24
02-10-2022,Onion Big,24
03-10-2022,Onion Big,22
04-10-2022,Onion Big,22
05-10-2022,Onion Big,22
06-10-2022,Onion Big,22
07-10-2022,Onion Big,22
08-10-2022,Onion Big,22
09-10-2022,Onion Big,22
10-10-2022,Onion Big,22
11-10-2022,Onion Big,22
12-10-2022,Onion Big,22
13-10-2022,Onion Big,22
14-10-2022,Onion Big,22
15-10-2022,Onion Big,23
16-10-2022,Onion Big,23
17-10-2022,Onion Big,23
